314,Ace of Spades,Motörhead,27 October 1980,Speed Metal,4.59,1000
315,Moanin',Art Blakey and The Jazz Messengers,January 1959,Hard Bop,4.60,931
316,Health and Efficiency,This Heat,1980,Post-Punk,4.60,667
317,Neighborhood #1 (Tunnels),Arcade Fire,20 June 2004,Indie Rock,4.56,4000
318,Digital Bath,Deftones,20 June 2000,Alternative Rock,4.57,4000
319,Black Sabbath,Black Sabbath,13 February 1970,Traditional Doom Metal,4.57,3000
320,The Rip,Portishead,28 April 2008,Folktronica,4.58,2000
321,Firth of Fifth,Genesis,12 October 1973,Symphonic Prog,4.58,2000
322,Helplessness Blues,Fleet Foxes,31 January 2011,Indie Folk,4.59,1000
323,Say Yes,Elliott Smith,25 February 1997,Indie Folk,4.57,4000
324,Death With Dignity,Sufjan Stevens,31 March 2015,Indie Folk,4.58,3000
325,"Jesus, etc.",Wilco,23 April 2002,Alt-Country,4.58,2000
326,Waterloo Sunset,The Kinks,5 May 1967,Pop Rock,4.59,1000
327,They Reminisce Over You (T.R.O.Y.),Pete Rock & C.L. Smooth,9 June 1992,Jazz Rap,4.58,483
328,Us and Them,Pink Floyd,23 March 1973,Art Rock,4.54,8000
329,Five Years,David Bowie,16 June 1972,Glam Rock,4.56,6000
330,I Wish,Stevie Wonder,28 September 1976,Funk,4.58,3000
331,Sultans of Swing,Dire Straits,19 May 1978,Roots Rock,4.59,1000
332,That's Us / Wild Combination,Arthur Russell,17 February 2004,Art Pop,4.60,400
333,Crystal Mountain,Death,21 March 1995,Progressive Metal,4.57,2000
334,The Creator Has a Master Plan,Pharoah Sanders,May 1969,Spiritual Jazz,4.58,2000
335,The Trooper,Iron Maiden,16 May 1983,Heavy Metal,4.59,2000
336,Corpse Pose,Unwound,11 March 1996,Post-Hardcore,4.59,1000
337,Free Bird,Lynyrd Skynyrd,13 August 1973,Southern Rock,4.58,1000
338,Meat Grinder,Madvillain,23 March 2004,Abstract Hip Hop,4.55,6000
339,No Love,Death Grips,1 October 2012,Industrial Hip Hop,4.57,3000
340,Heart of Glass,Blondie,September 1978,Disco,4.58,2000
341,Stargazer,Rainbow,17 May 1976,Heavy Metal,4.58,1000
342,Debaser,Pixies,17 April 1989,Indie Rock,4.56,4000
343,Andromeda,Weyes Blood,17 January 2019,Psychedelic Pop,4.56,4000
344,Place to Be,Nick Drake,25 February 1972,Contemporary Folk,4.57,4000
345,Welcome to the Black Parade,My Chemical Romance,9 October 2006,Pop Punk,4.56,4000
346,Building Steam With a Grain of Salt,DJ Shadow,19 November 1996,Instrumental Hip Hop,4.57,3000
347,Milk,Sweet Trip,28 September 2009,Dream Pop,4.58,2000
348,Into the Endless Night,Parannoul파란노을,25 March 2023,Post-Rock,4.75,1000
349,All Apologies,Nirvana,21 April 1993,Grunge,4.56,5000
350,Halleluwah,Can,May 1971,Krautrock,4.57,3000
351,Bridge Over Troubled Water,Simon and Garfunkel,26 January 1970,Singer-Songwriter,4.57,2000
352,"Mrs. Robinson (From the Motion Picture ""The Graduate"")",Simon & Garfunkel,3 April 1968,Folk Pop,4.59,987
353,- Mr. Blue Sky,Electric Light Orchestra,3 October 1977,Progressive Pop,4.58,799
354,Stars,Hum,March 1995,Alternative Rock,4.59,1000
355,ゆらめき IN THE AIR,Fishmans,29 September 1999,Dream Pop,4.74,2000
